G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
134,83,37,4,16,68,121,0.314,0.88,9,3,5.638951507
148,88,40,2,22,90,66,0.311,0.875,21,4,7.182414005
120,81,26,0,41,108,131,0.311,1.031,14,3,7.098093119
156,129,54,4,32,115,119,0.311,0.916,8,2,5.740486971
155,110,52,0,33,117,122,0.309,0.939,11,6,7.03114633
130,61,20,6,12,64,62,0.308,0.8,5,1,5.698209955
139,62,21,2,12,51,50,0.305,0.751,9,3,5.713892922
156,121,34,3,47,115,108,0.305,1.035,10,4,5.733720458
146,98,33,2,36,105,138,0.304,0.939,19,5,7.327628698
162,105,41,10,16,74,126,0.302,0.811,8,4,5.951965084
124,89,27,3,31,74,82,0.298,0.903,19,3,7.169449028
144,85,40,2,31,104,65,0.298,0.884,12,6,6.951965084
122,96,37,5,19,57,113,0.298,0.85,10,2,6.523091361
156,122,37,2,41,112,83,0.296,1.015,9,8,6.97892712
160,102,43,8,24,86,112,0.295,0.852,2,4,5.951965084
150,135,40,5,29,80,101,0.295,0.915,11,9,7.255161141
